Country,Country_Code,Year,Arrivals_in_Thousands,Departures_in_Thousands,Expenditures_in_USD_Millions,Receipts_in_USD_Millions
Namibia,NAM,1998,614.0,,288.0,88.0
New Caledonia,NCL,1998,104.0,68.0,110.0,
Niger,NER,1998,41.0,10.0,27.0,39.0
Nigeria,NGA,1998,739.0,,81.0,1589.0
Nicaragua,NIC,1998,406.0,422.0,103.0,94.0
Netherlands,NLD,1998,9312.0,13553.0,11923.0,13474.0
Norway,NOR,1998,3256.0,,2545.0,5069.0
Nepal,NPL,1998,464.0,122.0,248.0,107.0
Nauru,NRU,1998,,,,
New Zealand,NZL,1998,1475.0,1166.0,1857.0,1383.0
OECD members,OED,1998,403543.73163290095,427317.44273255405,401878.0,380974.0
Oman,OMN,1998,424.0,,338.0,542.0
Other small states,OSS,1998,12231.887837945098,,,2728.1939096237
Pakistan,PAK,1998,429.0,,556.0,565.0
Panama,PAN,1998,431.0,211.0,492.0,245.0
Peru,PER,1998,726.0,538.0,947.0,642.0
Philippines,PHL,1998,2149.0,1817.0,1431.0,2022.0
Palau,PLW,1998,64.0,9.0,58.0,2.0
Papua New Guinea,PNG,1998,67.0,65.0,15.0,52.0
Poland,POL,1998,18780.0,49328.0,8321.0,4524.0
Pre-demographic dividend,PRE,1998,5502.74387757138,,3238.53898294121,
Puerto Rico,PRI,1998,3396.0,1250.0,2233.0,1242.0
"Korea, Dem. People’s Rep.",PRK,1998,,,,
Portugal,PRT,1998,5539.0,,6390.0,2776.0
Paraguay,PRY,1998,350.0,318.0,128.0,223.0
West Bank and Gaza,PSE,1998,200.0,,346.0,295.0
Pacific island small states,PSS,1998,627.103905025571,,515.3941499724349,116.831192551431
Post-demographic dividend,PST,1998,378040.977884387,417655.76927920495,390893.4,380922.29358367296
French Polynesia,PYF,1998,189.0,,354.0,
Qatar,QAT,1998,320.0,,,
Romania,ROU,1998,4831.0,6893.0,351.0,504.0
Russian Federation,RUS,1998,16188.0,10635.0,6508.0,8677.0
Rwanda,RWA,1998,,,20.0,25.0
South Asia,SAS,1998,4280.6687044829105,6185.55566847389,4494.91464537918,3070.6588797454
Saudi Arabia,SAU,1998,,,,
Sudan,SDN,1998,36.0,,2.0,29.0
Senegal,SEN,1998,352.0,,181.0,135.0
Singapore,SGP,1998,5122.0,3745.0,4603.0,3222.0
Solomon Islands,SLB,1998,15.8,,7.1,10.2
Sierra Leone,SLE,1998,12.9,7.0,6.0,13.2
El Salvador,SLV,1998,542.0,868.0,206.0,179.0
San Marino,SMR,1998,36.0,,,
Somalia,SOM,1998,,,,
Serbia,SRB,1998,,,,
Sub-Saharan Africa (excluding high income),SSA,1998,16522.609840426197,,8869.74038780336,
South Sudan,SSD,1998,,,,
Sub-Saharan Africa,SSF,1998,16656.1872952175,,9074.678186609508,
Small states,SST,1998,17659.6156586717,,,3769.0120087050204
Sao Tome and Principe,STP,1998,5.6,,4.1,1.9
Suriname,SUR,1998,55.0,,36.0,49.0
Slovak Republic,SVK,1998,896.0,,493.0,527.0
Slovenia,SVN,1998,977.0,,1135.0,601.0
Sweden,SWE,1998,2573.0,11422.0,4997.0,8591.0
Eswatini,SWZ,1998,284.0,,51.0,60.0
Sint Maarten (Dutch part),SXM,1998,458.0,,430.0,99.0
Seychelles,SYC,1998,128.0,31.0,191.0,29.0
Syrian Arab Republic,SYR,1998,1267.0,2411.0,1017.0,583.0
Turks and Caicos Islands,TCA,1998,111.0,,157.0,194.0
Chad,TCD,1998,,,15.0,66.0
East Asia & Pacific (IDA & IBRD countries),TEA,1998,48569.68935117139,24425.2771209305,32107.8860381416,19211.842783979
Europe & Central Asia (IDA & IBRD countries),TEC,1998,66500.9159138997,100232.336999242,28844.2384198012,19091.2666094767
Togo,TGO,1998,69.0,,15.0,16.0
Thailand,THA,1998,7843.0,1412.0,7954.0,2246.0
Tajikistan,TJK,1998,3.2,,,
Turkmenistan,TKM,1998,300.0,357.0,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1998,42896.0,27687.852006677298,26161.0,24052.7249546096
Timor-Leste,TLS,1998,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1998,17228.879255833,,11085.470948175502,5877.4598415705295
Tonga,TON,1998,27.0,,8.0,
South Asia (IDA & IBRD),TSA,1998,4280.6687044829105,6185.55566847389,4494.91464537918,3070.6588797454
Sub-Saharan Africa (IDA & IBRD countries),TSS,1998,16656.1872952175,,9074.678186609508,
Trinidad and Tobago,TTO,1998,334.0,,356.0,92.0
Tunisia,TUN,1998,4718.0,1526.0,1980.0,271.0
Turkey,TUR,1998,8960.0,4601.0,7177.0,1754.0
Tuvalu,TUV,1998,1.0,1.9,,
Tanzania,TZA,1998,450.0,,404.0,521.0
Uganda,UGA,1998,195.0,241.0,144.0,95.0
Ukraine,UKR,1998,6208.0,7773.0,539.0,487.0
Upper middle income,UMC,1998,125126.33939003701,77013.8404375033,74189.8442383307,56758.1425730127
Uruguay,URY,1998,2163.0,654.0,695.0,265.0
United States,USA,1998,46377.0,55696.0,105095.0,78423.0
Uzbekistan,UZB,1998,811.0,,167.0,
St. Vincent and the Grenadines,VCT,1998,67.0,,73.0,8.0
"Venezuela, RB",VEN,1998,685.0,752.0,769.0,1319.0
British Virgin Islands,VGB,1998,279.0,,255.0,
Virgin Islands (U.S.),VIR,1998,422.0,,941.0,
Vietnam,VNM,1998,1520.0,,,
Vanuatu,VUT,1998,52.0,12.0,72.0,8.0
World,WLD,1998,602247.3378998059,723125.836474507,528513.87658038,490452.901466812
Samoa,WSM,1998,78.0,,39.60047,11.3
Kosovo,XKX,1998,,,,
"Yemen, Rep.",YEM,1998,88.0,,84.0,160.0
South Africa,ZAF,1998,5732.0,,3419.0,2500.0
Zambia,ZMB,1998,362.0,,40.0,81.0
Zimbabwe,ZWE,1998,2090.0,213.0,158.0,131.0
Aruba,ABW,1999,683.0,,782.0,151.0
Afghanistan,AFG,1999,,,,
Angola,AGO,1999,45.0,,31.0,142.0
Albania,ALB,1999,371.0,,218.0,35.0
Andorra,AND,1999,2347.0,,,
Arab World,ARB,1999,30108.4293455838,,17702.4338034791,
United Arab Emirates,ARE,1999,3393.0,,893.0,
Argentina,ARG,1999,2898.0,4786.0,3175.0,5228.0
Armenia,ARM,1999,41.0,,47.0,51.0
American Samoa,ASM,1999,41.0,,,
Antigua and Barbuda,ATG,1999,232.0,,290.0,30.0
Australia,AUS,1999,4459.0,3210.0,11408.0,8798.0
Austria,AUT,1999,17467.0,,12358.0,7517.0
Azerbaijan,AZE,1999,,1204.0,93.0,149.0
Burundi,BDI,1999,26.0,27.0,1.2,2.0
Belgium,BEL,1999,6369.0,6410.0,6472.0,9775.0
Benin,BEN,1999,80.0,,94.4,63.0
Burkina Faso,BFA,1999,117.0,,,
Bangladesh,BGD,1999,173.0,1103.0,50.0,375.0
Bulgaria,BGR,1999,2472.0,2376.0,1184.0,747.0
Bahrain,BHR,1999,3280.0,,785.0,395.0
"Bahamas, The",BHS,1999,1577.0,,1598.0,310.0
Bosnia and Herzegovina,BIH,1999,147.0,,258.0,101.0
Belarus,BLR,1999,74.9,934.0,92.0,133.0
Belize,BLZ,1999,181.0,,101.0,39.0
Bermuda,BMU,1999,355.0,,479.0,
Bolivia,BOL,1999,342.0,253.0,124.0,117.0
Brazil,BRA,1999,5107.0,2863.0,1718.0,3551.0
Barbados,BRB,1999,515.0,,697.0,132.0
Brunei Darussalam,BRN,1999,,,,
Bhutan,BTN,1999,7.2,,9.0,
Botswana,BWA,1999,843.0,,239.0,155.0
Central African Republic,CAF,1999,10.0,,8.0,33.0
Canada,CAN,1999,19411.0,18368.0,12024.0,13999.0
Central Europe and the Baltics,CEB,1999,42625.0,92884.23329679809,20280.0,10766.0
Switzerland,CHE,1999,7154.0,11815.0,9135.0,7646.0
Channel Islands,CHI,1999,,,,
Chile,CHL,1999,1632.0,,1243.0,1032.0
China,CHN,1999,27047.0,9232.0,15006.0,11621.0
Cote d'Ivoire,CIV,1999,,,107.0,337.0
Cameroon,CMR,1999,,,92.0,192.0
"Congo, Dem. Rep.",COD,1999,80.0,50.0,,
"Congo, Rep.",COG,1999,14.0,,13.5,71.0
Colombia,COL,1999,546.0,1098.0,1231.0,1339.0
Comoros,COM,1999,24.0,,19.0,
Cabo Verde,CPV,1999,67.0,,56.0,47.0
Costa Rica,CRI,1999,1032.0,353.0,1256.0,509.0
Caribbean small states,CSS,1999,4858.0,,5247.0,1067.0
Cuba,CUB,1999,1561.0,97.0,1901.0,
Curacao,CUW,1999,198.0,,260.0,
Cayman Islands,CYM,1999,395.0,,525.0,
Cyprus,CYP,1999,2434.0,540.0,2091.419,553.5765
Czech Republic,CZE,1999,5610.0,,3153.0,1493.0
Germany,DEU,1999,17116.0,78100.0,25327.0,61218.0
Djibouti,DJI,1999,21.0,,7.6,11.6
Dominica,DMA,1999,74.0,,51.0,9.0
Denmark,DNK,1999,2023.0,4744.0,3698.0,4899.0
Dominican Republic,DOM,1999,2649.0,363.0,2483.0,391.0
Algeria,DZA,1999,749.0,903.0,80.0,251.0
East Asia & Pacific (excluding high income),EAP,1999,54923.563961281005,25681.4056923679,38173.2361553266,21794.7223627203
Early-demographic dividend,EAR,1999,83226.32471008108,66809.4737362976,55928.597688959606,41383.483540605004
East Asia & Pacific,EAS,1999,93433.36342943579,120207.38273471399,85613.14079108971,106320.994016852
Europe & Central Asia (excluding high income),ECA,1999,41310.173486587206,43451.5442918339,12723.9399678442,11767.987703454799
Europe & Central Asia,ECS,1999,355106.32971976604,391196.12258030096,266144.739743504,250875.765286344
Ecuador,ECU,1999,518.0,386.0,377.0,385.0
"Egypt, Arab Rep.",EGY,1999,4490.0,2886.0,4361.0,1218.0
Euro area,EMU,1999,240992.0,168981.119535052,185807.419,158164.5765
Eritrea,ERI,1999,57.0,,28.0,
Spain,ESP,1999,45440.0,3519.0,33784.0,7803.0
Estonia,EST,1999,950.0,1780.0,702.0,255.0
Ethiopia,ETH,1999,115.0,,176.0,57.0
European Union,EUU,1999,306801.0,322777.1764856491,242613.419,226400.5765
Fragile and conflict affected situations,FCS,1999,7629.52583723593,,3405.1477788318302,
Finland,FIN,1999,1831.0,5314.0,2236.0,2525.0
Fiji,FJI,1999,410.0,89.0,365.0,82.0
France,FRA,1999,73147.0,16709.0,37770.0,22795.0
Faroe Islands,FRO,1999,,,,
"Micronesia, Fed. Sts.",FSM,1999,16.1,,13.9,4.9
Gabon,GAB,1999,178.0,187.0,143.0,195.0
United Kingdom,GBR,1999,23341.0,53881.0,30807.0,45536.0
Georgia,GEO,1999,384.0,373.0,131.0,135.0
Ghana,GHA,1999,373.0,,325.0,151.0
Gibraltar,GIB,1999,,,,
Guinea,GIN,1999,27.0,,5.8,29.0
"Gambia, The",GMB,1999,96.0,,,
Guinea-Bissau,GNB,1999,,,,
Equatorial Guinea,GNQ,1999,,,10.0,8.0
Greece,GRC,1999,12164.0,,8839.0,4014.0
Grenada,GRD,1999,125.0,,88.0,7.0
Greenland,GRL,1999,,,,
Guatemala,GTM,1999,823.0,485.0,374.0,216.0
Guam,GUM,1999,1162.0,,,
Guyana,GUY,1999,75.0,,109.0,82.0
High income,HIC,1999,444887.28479639295,517248.06081657304,449382.83062673605,439792.581062069
"Hong Kong SAR, China",HKG,1999,7837.0,53144.0,7343.0,13134.0
Honduras,HND,1999,371.0,235.0,214.0,166.0
Heavily indebted poor countries (HIPC),HPC,1999,5775.09991599556,,3048.6577788039604,3088.01874306134
Croatia,HRV,1999,3805.0,,2595.0,806.0
Haiti,HTI,1999,143.0,,135.0,
Hungary,HUN,1999,2789.0,10622.0,3622.0,1590.0
IBRD only,IBD,1999,185642.456785363,161631.427410719,104121.351320886,71439.3514407079
IDA & IBRD total,IBT,1999,203059.12387941297,205835.260584968,112823.32608434401,76584.9093378435
IDA total,IDA,1999,16107.9703091272,,8801.996285508758,
IDA blend,IDB,1999,6299.37855699783,,3230.78104507384,
Indonesia,IDN,1999,4728.0,,4352.0,2353.0
IDA only,IDX,1999,9694.96453928725,,5685.62651166669,4400.492573938789
Isle of Man,IMN,1999,,,,
India,IND,1999,2482.0,4115.0,3010.0,2010.0
Not classified,INX,1999,,,,
Ireland,IRL,1999,6403.0,3576.0,3403.0,2712.0
"Iran, Islamic Rep.",IRN,1999,1321.0,1856.0,559.0,638.0
Iraq,IRQ,1999,30.0,,1.0,14.0
Iceland,ISL,1999,263.0,257.0,380.0,440.0
Israel,ISR,1999,2312.0,3203.0,4800.0,3411.0
Italy,ITA,1999,36516.0,17361.0,29570.0,19588.0
Jamaica,JAM,1999,1248.0,,1486.0,256.0
Jordan,JOR,1999,1790.0,1561.0,1016.0,536.0
Japan,JPN,1999,4438.0,16358.0,5715.0,41213.0
Kazakhstan,KAZ,1999,394.0,398.0,394.0,455.0
Kenya,KEN,1999,862.0,,1211.0,182.0
Kyrgyz Republic,KGZ,1999,48.0,45.0,18.0,27.0
Cambodia,KHM,1999,368.0,49.0,240.0,41.0
Kiribati,KIR,1999,5.1,,2.8,
St. Kitts and Nevis,KNA,1999,84.0,,69.0,7.0
"Korea, Rep.",KOR,1999,4660.0,4342.0,8337.0,5555.0
Kuwait,KWT,1999,84.0,1209.0,342.0,2574.0
Latin America & Caribbean (excluding high income),LAC,1999,39801.0,25096.966686217,25536.0,20661.919632268
Lao PDR,LAO,1999,259.0,,86.0,17.0
Lebanon,LBN,1999,673.0,,673.0,
Liberia,LBR,1999,,,,
Libya,LBY,1999,,,39.0,574.0
St. Lucia,LCA,1999,264.0,,263.0,33.0
Latin America & Caribbean,LCN,1999,52365.6445609655,28912.882076886897,36380.0286331097,24588.4515968702
Least developed countries: UN classification,LDC,1999,6111.18722412174,,3105.65350650688,2848.8977669856
Low income,LIC,1999,5330.984586529031,,3692.5502457461203,2708.9120216307997
Liechtenstein,LIE,1999,60.0,,,
Sri Lanka,LKA,1999,436.0,497.0,414.0,341.0
Lower middle income,LMC,1999,39327.575010298206,34698.4038416666,25556.0527308054,12244.931229131202
Low & middle income,LMY,1999,178559.235962089,134856.21067531398,102645.19554855801,70709.4789822576
Lesotho,LSO,1999,308.0,,23.1,17.0
Late-demographic dividend,LTE,1999,133339.02565894902,120347.75027016699,72926.3753644384,52485.7378060946
Lithuania,LTU,1999,1422.0,3487.0,591.0,350.0
Luxembourg,LUX,1999,863.0,809.0,1697.0,1316.0
Latvia,LVA,1999,544.0,2256.0,153.0,321.0
"Macao SAR, China",MAC,1999,5050.0,,2598.0,
St. Martin (French part),MAF,1999,,,,
Morocco,MAR,1999,3817.0,1545.0,2177.0,578.0
Monaco,MCO,1999,278.0,,,
Moldova,MDA,1999,,,49.0,69.0
Madagascar,MDG,1999,138.0,,137.0,133.0
Maldives,MDV,1999,430.0,42.0,314.0,58.0
Middle East & North Africa,MEA,1999,33648.8738098684,,24460.308313476602,
Mexico,MEX,1999,19043.0,10352.0,8135.0,5192.0
Marshall Islands,MHL,1999,4.6,,2.9,0.1
Middle income,MIC,1999,171474.354829598,119935.401887083,99469.04716492881,68184.1512316073
North Macedonia,MKD,1999,181.0,,80.0,42.0
Mali,MLI,1999,82.0,,36.0,65.0
Malta,MLT,1999,1214.0,179.0,841.0,231.0
Myanmar,MMR,1999,435.0,,222.0,26.0
Middle East & North Africa (excluding high income),MNA,1999,20133.615156902,,12553.882523770399,7023.467238566421
Montenegro,MNE,1999,,,,
Mongolia,MNG,1999,155.0,,43.0,45.0
Northern Mariana Islands,MNP,1999,493.0,,,
Mozambique,MOZ,1999,,,61.0,140.0
Mauritania,MRT,1999,24.0,,28.0,55.0
Mauritius,MUS,1999,578.0,154.0,718.0,210.0
Malawi,MWI,1999,254.0,,42.0,52.0
Malaysia,MYS,1999,7931.0,26067.0,4403.0,2382.0
North America,NAC,1999,68275.0,75580.3677651055,123978.0,96755.99862667371
Namibia,NAM,1999,635.0,,287.0,89.0
New Caledonia,NCL,1999,100.0,69.0,112.0,
Niger,NER,1999,39.0,,25.1,35.0
Nigeria,NGA,1999,776.0,,99.0,640.0
Nicaragua,NIC,1999,468.0,452.0,128.0,114.0
Netherlands,NLD,1999,9874.0,14184.0,12451.0,13468.0
Norway,NOR,1999,3223.0,2271.0,2750.0,5185.0
Nepal,NPL,1999,492.0,125.0,229.0,116.0
Nauru,NRU,1999,,,,
New Zealand,NZL,1999,1596.0,1185.0,2234.0,1430.0
OECD members,OED,1999,415173.735340299,446500.99903947196,418435.0,401520.0
Oman,OMN,1999,503.0,,350.0,583.0
Other small states,OSS,1999,13336.227205878999,,,2997.0699747884996
Pakistan,PAK,1999,432.0,,492.0,447.0
Panama,PAN,1999,457.0,221.0,506.0,259.0
Peru,PER,1999,694.0,513.0,911.0,652.0
Philippines,PHL,1999,2171.0,1755.0,2652.0,1737.0
Palau,PLW,1999,55.0,,54.0,2.0
Papua New Guinea,PNG,1999,67.0,58.0,6.0,53.0
Poland,POL,1999,17950.0,55097.0,6498.0,3810.0
Pre-demographic dividend,PRE,1999,5625.66881743353,,3384.66621340058,
Puerto Rico,PRI,1999,3024.0,1134.0,2139.0,1172.0
"Korea, Dem. People’s Rep.",PRK,1999,,,,
Portugal,PRT,1999,5379.0,,6046.0,2757.0
Paraguay,PRY,1999,269.0,281.0,95.0,181.0
West Bank and Gaza,PSE,1999,300.0,,377.0,301.0
Pacific island small states,PSS,1999,668.065906259255,,561.4073823452769,128.48038212819498
Post-demographic dividend,PST,1999,390902.896493441,434446.955904492,410844.0,403446.23752416205
French Polynesia,PYF,1999,211.0,,394.0,
Qatar,QAT,1999,357.0,,122.0,320.0
Romania,ROU,1999,5224.0,6274.0,306.0,428.0
Russian Federation,RUS,1999,18820.0,12631.0,3723.0,7097.0
Rwanda,RWA,1999,,,21.0,28.0
South Asia,SAS,1999,4529.947044613709,6639.3135842999,4527.98759594719,3358.6585851332898
Saudi Arabia,SAU,1999,,,,
Sudan,SDN,1999,39.0,,2.0,35.0
Senegal,SEN,1999,369.0,,183.0,136.0
Singapore,SGP,1999,5604.0,3971.0,5089.0,4217.0
Solomon Islands,SLB,1999,,,9.7,11.4
Sierra Leone,SLE,1999,10.6,13.0,6.0,44.2
El Salvador,SLV,1999,658.0,787.0,408.0,205.0
San Marino,SMR,1999,34.0,,,
Somalia,SOM,1999,,,,
Serbia,SRB,1999,,,,
Sub-Saharan Africa (excluding high income),SSA,1999,17184.2921753907,,9231.45577968253,
South Sudan,SSD,1999,,,,
Sub-Saharan Africa,SSF,1999,17314.441545392998,,9448.21450611776,
Small states,SST,1999,18923.9336567034,,,4118.92840038176
Sao Tome and Principe,STP,1999,5.8,,9.2,2.2
Suriname,SUR,1999,57.0,,45.0,47.0
Slovak Republic,SVK,1999,975.0,,465.0,387.0
Slovenia,SVN,1999,884.0,,1011.0,579.0
Sweden,SWE,1999,2595.0,10500.0,4943.0,8927.0
Eswatini,SWZ,1999,289.0,,15.0,35.0
Sint Maarten (Dutch part),SXM,1999,445.0,,443.0,171.0
Seychelles,SYC,1999,125.0,32.0,202.0,28.0
Syrian Arab Republic,SYR,1999,1386.0,2994.0,1031.0,631.0
Turks and Caicos Islands,TCA,1999,121.0,,238.0,
Chad,TCD,1999,,,15.0,53.0
East Asia & Pacific (IDA & IBRD countries),TEA,1999,54266.5190629701,25360.548003940898,38179.7166060828,21755.1991928695
Europe & Central Asia (IDA & IBRD countries),TEC,1999,63480.238591738,108091.4728211,21914.7859554904,16423.1241818336
Togo,TGO,1999,70.0,,10.0,17.0
Thailand,THA,1999,8651.0,1655.0,9416.0,2870.0
Tajikistan,TJK,1999,4.5,4.1,,
Turkmenistan,TKM,1999,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1999,43076.0,27465.5745205733,26761.0,22078.0371192253
Timor-Leste,TLS,1999,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1999,19831.0070079601,,12175.4088570976,6686.2444617378105
Tonga,TON,1999,31.0,,9.0,
South Asia (IDA & IBRD),TSA,1999,4529.947044613709,6639.3135842999,4527.98759594719,3358.6585851332898
Sub-Saharan Africa (IDA & IBRD countries),TSS,1999,17314.441545392998,,9448.21450611776,
Trinidad and Tobago,TTO,1999,358.0,,365.0,106.0
Tunisia,TUN,1999,4832.0,1480.0,2118.0,276.0
Turkey,TUR,1999,6893.0,4758.0,5203.0,1471.0
Tuvalu,TUV,1999,1.1,2.2,,
Tanzania,TZA,1999,564.0,,467.0,403.0
Uganda,UGA,1999,189.0,327.0,151.0,
Ukraine,UKR,1999,4232.0,7399.0,503.0,460.0
Upper middle income,UMC,1999,132372.932117647,79439.12207874091,74102.4155048244,56043.876361997805
Uruguay,URY,1999,2073.0,778.0,653.0,280.0
United States,USA,1999,48509.0,57222.0,111475.0,82513.0
Uzbekistan,UZB,1999,487.0,,102.0,
St. Vincent and the Grenadines,VCT,1999,68.0,,85.0,9.0
"Venezuela, RB",VEN,1999,587.0,754.0,643.0,1483.0
British Virgin Islands,VGB,1999,284.0,,339.0,
Virgin Islands (U.S.),VIR,1999,484.0,,955.0,
Vietnam,VNM,1999,1782.0,,,
Vanuatu,VUT,1999,51.0,12.0,59.0,9.0
World,WLD,1999,627207.864916467,758304.69846519,552230.539377033,511457.159174802
Samoa,WSM,1999,85.0,58.0,42.5,4.3
Kosovo,XKX,1999,,,,
"Yemen, Rep.",YEM,1999,58.0,,61.0,164.0
South Africa,ZAF,1999,5890.0,,3407.0,2717.0
Zambia,ZMB,1999,404.0,,53.0,100.0
Zimbabwe,ZWE,1999,2250.0,331.0,202.0,
Aruba,ABW,2000,721.0,,850.0,163.0
Afghanistan,AFG,2000,,,,
Angola,AGO,2000,51.0,,34.0,146.0
Albania,ALB,2000,317.0,,398.0,290.0
Andorra,AND,2000,2949.0,,,
Arab World,ARB,2000,33912.574068431495,,18213.7427371717,
United Arab Emirates,ARE,2000,3907.0,,1063.0,3019.0
Argentina,ARG,2000,2909.0,4953.0,3195.0,5460.0
Armenia,ARM,2000,45.0,111.0,52.0,56.0
American Samoa,ASM,2000,44.0,,,
Antigua and Barbuda,ATG,2000,207.0,,291.0,31.0
Australia,AUS,2000,4931.0,3498.0,11594.0,9065.0
Austria,AUT,2000,17982.0,7528.0,11382.0,7001.0
Azerbaijan,AZE,2000,,1326.0,68.0,138.0
Burundi,BDI,2000,29.0,28.0,1.4,14.0
Belgium,BEL,2000,6457.0,7932.0,6592.0,9429.0
Benin,BEN,2000,96.0,,77.4,50.0
Burkina Faso,BFA,2000,126.0,,23.0,30.0
Bangladesh,BGD,2000,199.0,1128.0,50.0,471.0
Bulgaria,BGR,2000,2785.0,2337.0,1364.0,764.0
Bahrain,BHR,2000,3869.0,,854.0,425.0
"Bahamas, The",BHS,2000,1544.0,,1753.0,348.0
Bosnia and Herzegovina,BIH,2000,171.0,,246.0,92.0
Belarus,BLR,2000,60.0,1289.0,188.0,247.0
Belize,BLZ,2000,196.0,,111.0,44.0
Bermuda,BMU,2000,332.0,,431.0,
Bolivia,BOL,2000,319.0,201.0,101.0,116.0
Brazil,BRA,2000,5313.0,3228.0,1969.0,4548.0
Barbados,BRB,2000,545.0,,733.0,141.0
Brunei Darussalam,BRN,2000,,,,
Bhutan,BTN,2000,7.6,,10.0,
Botswana,BWA,2000,1104.0,,227.0,209.0
Central African Republic,CAF,2000,11.2,,5.0,33.0
Canada,CAN,2000,19627.0,19182.0,13035.0,15125.0
Central Europe and the Baltics,CEB,2000,44000.0,95836.6298589967,20255.0,9940.0
Switzerland,CHE,2000,7821.0,12240.0,8988.0,7360.0
Channel Islands,CHI,2000,,,,
Chile,CHL,2000,1742.0,1319.0,1179.0,904.0
China,CHN,2000,31229.0,10473.0,17318.0,14169.0
Cote d'Ivoire,CIV,2000,,,53.0,291.0
Cameroon,CMR,2000,,,132.0,241.0
"Congo, Dem. Rep.",COD,2000,103.0,,,
"Congo, Rep.",COG,2000,19.0,,12.4,59.0
Colombia,COL,2000,557.0,1235.0,1313.0,1452.0
Comoros,COM,2000,24.0,,15.0,
Cabo Verde,CPV,2000,115.0,,64.0,41.0
Costa Rica,CRI,2000,1088.0,381.0,1629.0,545.0
Caribbean small states,CSS,2000,4991.0,,5520.0,1205.0
Cuba,CUB,2000,1741.0,139.0,1948.0,
Curacao,CUW,2000,191.0,,227.0,
Cayman Islands,CYM,2000,354.0,,559.0,
Cyprus,CYP,2000,2686.0,588.0,2098.696,533.379
Czech Republic,CZE,2000,4773.0,,2973.0,1276.0
Germany,DEU,2000,18983.0,80507.0,24943.0,57601.0
Djibouti,DJI,2000,20.1,,8.1,14.8
Dominica,DMA,2000,70.0,,48.0,9.0
Denmark,DNK,2000,3535.0,5011.0,3671.0,4669.0
Dominican Republic,DOM,2000,2978.0,360.0,2860.0,440.0
Algeria,DZA,2000,866.0,1006.0,102.0,193.0
East Asia & Pacific (excluding high income),EAP,2000,62845.010815843205,29541.6022054544,42972.3338771622,25929.919280865797
Early-demographic dividend,EAR,2000,91242.7191296048,72870.6848992124,61033.9641151378,47361.2067695949
East Asia & Pacific,EAS,2000,105029.881956407,135134.36729171898,92771.1300928338,114911.189451138
Europe & Central Asia (excluding high income),ECA,2000,50364.294465297295,59731.26364161961,15468.600835031,14389.9779461543
Europe & Central Asia,ECS,2000,383051.537194669,426583.19637292495,263853.71860228304,251581.97443822
Ecuador,ECU,2000,627.0,520.0,451.0,416.0
"Egypt, Arab Rep.",EGY,2000,5116.0,2964.0,4657.0,1206.0
Euro area,EMU,2000,255220.0,181734.907735255,182172.696,156242.379
Eritrea,ERI,2000,70.0,,36.0,
Spain,ESP,2000,46403.0,4100.0,32656.0,7710.0
Estonia,EST,2000,1220.0,1800.0,657.0,253.0
Ethiopia,ETH,2000,136.0,,205.0,80.0
European Union,EUU,2000,324840.0,340783.085927046,238185.696,225139.379
Fragile and conflict affected situations,FCS,2000,8364.24299440789,,3135.7916036276,
Finland,FIN,2000,1971.0,5914.0,2035.0,2293.0
Fiji,FJI,2000,294.0,83.0,291.0,96.0
France,FRA,2000,77190.0,19886.0,38534.0,26703.0
Faroe Islands,FRO,2000,,,,
"Micronesia, Fed. Sts.",FSM,2000,20.5,,17.0,5.3
Gabon,GAB,2000,155.0,168.0,99.0,183.0
United Kingdom,GBR,2000,23212.0,56837.0,29978.0,47009.0
Georgia,GEO,2000,387.0,315.0,107.0,129.0
Ghana,GHA,2000,399.0,,357.0,162.0
Gibraltar,GIB,2000,,,,
Guinea,GIN,2000,33.0,,7.8,13.0
"Gambia, The",GMB,2000,79.0,,,
Guinea-Bissau,GNB,2000,,,,
Equatorial Guinea,GNQ,2000,,,5.0,19.0
Greece,GRC,2000,13096.0,,9262.0,4564.0
Grenada,GRD,2000,129.0,,93.0,8.0
Greenland,GRL,2000,,,,
Guatemala,GTM,2000,826.0,488.0,498.0,216.0
Guam,GUM,2000,1287.0,,,
Guyana,GUY,2000,105.0,,80.0,77.0
High income,HIC,2000,472270.62321233796,552579.7963795001,458485.228723617,453667.086057591
"Hong Kong SAR, China",HKG,2000,8814.0,58901.0,8198.0,12502.0
Honduras,HND,2000,471.0,274.0,263.0,198.0
Heavily indebted poor countries (HIPC),HPC,2000,6041.7645026863,,3017.93368854512,3097.66371768594
Croatia,HRV,2000,5831.0,,2871.0,634.0
Haiti,HTI,2000,140.0,,128.0,173.0
Hungary,HUN,2000,2992.0,11065.0,3809.0,1722.0
IBRD only,IBD,2000,208505.304328233,184532.436531362,114723.027254239,82120.5292326798
IDA & IBRD total,IBT,2000,226959.418794763,235015.277364182,122888.64285296902,87566.7726653817
IDA total,IDA,2000,16887.6249852562,,8204.35565999179,
IDA blend,IDB,2000,5954.79182714057,,2545.86550479572,
Indonesia,IDN,2000,5064.0,2205.0,4975.0,3197.0
IDA only,IDX,2000,10881.373467553598,,5826.88007478659,4695.45481122636
Isle of Man,IMN,2000,,,,
